Coefficients,Estimate,Std.Error,t.value,p.value,lg neg
f_105,-9.11E-05,0.000167228,-0.544736734,0.588510135,0.230246053
f_106,1.50E-05,0.000169698,0.088476625,0.92987379,0.031575994
f_107,-0.000171248,0.000171167,-1.000473855,0.322204494,0.491868407
f_108,-5.84E-05,0.000171945,-0.339580231,0.735685486,0.133307812
f_109,-0.000153662,0.000173657,-0.884858957,0.380737286,0.41937459
f_110,0.000121789,0.000174105,0.699514894,0.487678089,0.311866756
f_111,-0.000344643,0.000175901,-1.959299582,0.056024216,1.25162421
f_112,-0.000146032,0.000177218,-0.824025446,0.41408728,0.38290811
f_113,-0.000240712,0.000177454,-1.35647288,0.181429241,0.741292716
f_114,3.42E-05,0.000179521,0.19025138,0.849931512,0.070616069
f_115,0.000105833,0.000181063,0.58451164,0.561671575,0.250517554
f_116,-0.000141639,0.000182546,-0.775911293,0.441688402,0.354884004
f_117,-0.000166491,0.000183077,-0.909404051,0.367776964,0.434415476
f_118,-2.03E-05,0.000184207,-0.110223088,0.912701767,0.039671109
f_119,0.000167995,0.000185585,0.90522104,0.369965417,0.431838871
f_120,5.11E-05,0.000186538,0.274184705,0.785144193,0.105050577
f_121,-0.000199908,0.000188593,-1.059995199,0.294563874,0.530820517
f_122,3.19E-05,0.000189134,0.168493123,0.866918368,0.062021795
f_123,-7.34E-05,0.000189964,-0.386168427,0.70111459,0.154210995
f_124,8.38E-05,0.00019119,0.438381479,0.663118219,0.17840904
f_125,3.55E-05,0.000192372,0.184709875,0.854251329,0.068414337
f_126,2.27E-06,0.000193745,0.011728338,0.990691998,0.004061345
f_127,-2.04E-05,0.00019533,-0.10438029,0.91731173,0.037483053
f_128,6.41E-05,0.000196358,0.326545385,0.745461492,0.127574786
f_129,0.000470793,0.000196861,2.391498053,0.020834222,1.681222714
f_130,6.34E-05,0.000197592,0.320835795,0.749757099,0.125079413
f_131,-0.000205696,0.000198098,-1.038356118,0.304416913,0.516531222
f_132,9.49E-05,0.000198739,0.477721123,0.635063059,0.197183149
f_133,0.000147966,0.000200502,0.737977268,0.464197186,0.333297497
f_134,-2.39E-05,0.000201664,-0.118471806,0.906198733,0.04277655
f_135,-2.61E-05,0.000202844,-0.128735663,0.89811613,0.046667504
f_136,-0.000286348,0.000204361,-1.401188983,0.167726318,0.775398786
f_137,-8.28E-05,0.00020529,-0.403239388,0.688600728,0.162032522
f_138,0.000167472,0.000206924,0.809342643,0.422396587,0.3742796
f_139,-0.000167003,0.000207268,-0.805736135,0.424452914,0.372170481
f_140,1.12E-05,0.000209395,0.053343836,0.95768405,0.018777745
f_141,1.46E-05,0.000209587,0.069783607,0.944661967,0.024723569
f_142,1.35E-05,0.000210834,0.06414097,0.94913001,0.022674295
f_143,-5.47E-05,0.000211622,-0.258617869,0.797059342,0.098509343
f_144,0.000108939,0.00021419,0.508611676,0.613403722,0.212253593
f_145,9.51E-05,0.000215579,0.441208371,0.661085238,0.17974254
f_146,-5.13E-05,0.000216079,-0.237302928,0.813453161,0.089667449
f_147,-0.000227407,0.000217157,-1.047201769,0.300362199,0.522354725
f_148,0.00047562,0.00022021,2.159847697,0.035917691,1.444691587
f_149,0.000114764,0.000221882,0.517228463,0.607422456,0.216509157
f_150,0.000451544,0.000221909,2.034814551,0.047532127,1.323012753
f_151,-4.74E-05,0.000223575,-0.211955953,0.8330579,0.079324813
f_152,7.20E-05,0.000224077,0.321441403,0.749301088,0.125343637
f_153,-8.89E-05,0.000226937,-0.39191558,0.696892077,0.156834473
f_154,-6.76E-05,0.000227965,-0.296534243,0.768128588,0.114566071
f_155,-0.000118447,0.000229322,-0.516509789,0.607920289,0.216153362
f_156,-0.000329655,0.000230699,-1.428939547,0.159634485,0.796873284
f_157,8.17E-05,0.000231981,0.352040454,0.726381541,0.138835201
f_158,-0.000223202,0.000232919,-0.958282266,0.342824194,0.464928536
f_159,-5.06E-05,0.000234447,-0.215717742,0.83014122,0.080848021
f_160,8.91E-05,0.000236845,0.376039461,0.708579659,0.149611319
f_161,-0.00027886,0.000237376,-1.174757832,0.246009243,0.609048576
f_162,2.69E-06,0.000237867,0.011299868,0.991032031,0.003912309
f_163,0.000158704,0.000238623,0.665083665,0.50924757,0.293071035
f_164,0.000118092,0.000240791,0.490433457,0.626109093,0.203349989
f_165,0.000114525,0.000242503,0.472263623,0.638924136,0.194550706
f_166,-0.000130514,0.000244929,-0.53286602,0.596636992,0.224289824
f_167,-3.66E-06,0.00024549,-0.014896852,0.988177529,0.005165026
f_168,0.000134145,0.000246723,0.543704247,0.589214891,0.229726286
f_169,0.000207689,0.000247919,0.837727643,0.40642365,0.391021028
f_170,-1.87E-05,0.000250022,-0.074909248,0.940604853,0.026592785
f_171,0.000173325,0.000251954,0.687922902,0.494882609,0.305497808
f_172,0.000102649,0.000252912,0.405868377,0.686681235,0.163244821
f_173,0.000180704,0.00025449,0.710064166,0.481172725,0.317698998
f_174,-0.000521946,0.000255423,-2.043454091,0.046635661,1.331281866
f_175,0.000223326,0.000256971,0.869071901,0.389224331,0.409800019
f_176,9.38E-05,0.00025881,0.362520385,0.718588324,0.143519844
f_177,-0.000236345,0.00026057,-0.907030691,0.369017627,0.432952888
f_178,0.000296282,0.000263646,1.123787999,0.266810242,0.573797503
f_179,-8.32E-05,0.000264588,-0.314533967,0.75450759,0.122336387
f_180,0.000252633,0.00026598,0.949820678,0.347062144,0.459592754
f_181,6.09E-05,0.000267031,0.227894967,0.820716443,0.085806865
f_182,0.000281748,0.000268161,1.050666528,0.298784177,0.524642406
f_183,-6.66E-05,0.000270301,-0.24647272,0.806389649,0.093455056
f_184,-2.30E-05,0.000271725,-0.084664912,0.932887407,0.030170769
f_185,9.17E-05,0.000272943,0.33614225,0.738259728,0.131790822
f_186,-0.000159478,0.000275162,-0.579579646,0.564966095,0.247977615
f_187,0.000376403,0.000277592,1.355960382,0.181591123,0.740905385
f_188,-0.000161357,0.000279213,-0.577898332,0.566091383,0.247113456
f_189,5.28E-05,0.000280911,0.187802957,0.851839587,0.069642181
f_190,-0.000252729,0.000284443,-0.888505808,0.378793558,0.421597416
f_191,-0.000675585,0.000285181,-2.368970931,0.021998586,1.657605232
f_192,5.92E-05,0.000285536,0.20716538,0.836775671,0.077390955
f_193,-0.000199401,0.00028947,-0.688847481,0.494305829,0.306004268
f_194,-0.000178553,0.000290711,-0.614194091,0.54204888,0.265961549
